origin_id,origin_dipslay_name,destination_id,destination_display_name,date_range,mean_travel_time,range_lower,range_upper
"177","1230 Peachtree St NE, Atlanta, GA","681","Census Tract 304.09","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1537,1166,2025
"177","1230 Peachtree St NE, Atlanta, GA","682","Census Tract 304.10","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1303,990,1714
"177","1230 Peachtree St NE, Atlanta, GA","683","Census Tract 304.08","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1366,1014,1840
"177","1230 Peachtree St NE, Atlanta, GA","684","Census Tract 304.07","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1224,919,1628
"177","1230 Peachtree St NE, Atlanta, GA","689","Census Tract 406.16","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1751,1385,2213
"177","1230 Peachtree St NE, Atlanta, GA","690","Census Tract 406.20","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2455,1923,3133
"177","1230 Peachtree St NE, Atlanta, GA","691","Census Tract 404.15","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1713,1205,2433
"177","1230 Peachtree St NE, Atlanta, GA","692","Census Tract 405.19","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1624,1205,2188
"177","1230 Peachtree St NE, Atlanta, GA","694","Census Tract 9800","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1537,1161,2034
"177","1230 Peachtree St NE, Atlanta, GA","695","Census Tract 304.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1112,818,1510
"177","1230 Peachtree St NE, Atlanta, GA","696","Census Tract 303.44","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1004,712,1414
"177","1230 Peachtree St NE, Atlanta, GA","697","Census Tract 303.45","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1016,705,1462
"177","1230 Peachtree St NE, Atlanta, GA","698","Census Tract 311.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1326,949,1852
"177","1230 Peachtree St NE, Atlanta, GA","704","Census Tract 302.23","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1745,1375,2214
"177","1230 Peachtree St NE, Atlanta, GA","705","Census Tract 311.15","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1889,1379,2585
"177","1230 Peachtree St NE, Atlanta, GA","706","Census Tract 311.16","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1683,1227,2307
"177","1230 Peachtree St NE, Atlanta, GA","710","Census Tract 311.18","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1712,1280,2288
"177","1230 Peachtree St NE, Atlanta, GA","721","Census Tract 111","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1526,1080,2156
